Date,Day,Islamic,Fajr,Fajr Iqama,Sunrise,Duhr,Duhr Iqama,Asr,Asr Iqama,Maghrib,Maghrib Iqama,Isha,Isha Iqama
1,Tues,RBA 16,5:48 AM,6:15 AM,7:09 AM,1:01 PM,1:30 PM,5:02 PM,5:30 PM,6:51 PM,6:56 PM,8:12 PM,8:30 PM
2,Wed,RBA 17,5:49 AM,6:15 AM,7:11 AM,1:00 PM,1:30 PM,5:01 PM,5:30 PM,6:49 PM,6:54 PM,8:11 PM,8:30 PM
3,Thurs,RBA 18,5:51 AM,6:15 AM,7:12 AM,1:00 PM,1:30 PM,4:59 PM,5:30 PM,6:48 PM,6:53 PM,8:09 PM,8:30 PM
4,Fri,RBA 19,5:52 AM,6:15 AM,7:13 AM,1:00 PM,1:30 PM,4:57 PM,5:30 PM,6:46 PM,6:51 PM,8:07 PM,8:30 PM
5,Sat,RBA 20,5:53 AM,6:15 AM,7:14 AM,1:00 PM,1:30 PM,4:56 PM,5:30 PM,6:44 PM,6:49 PM,8:05 PM,8:30 PM
6,Sun,RBA 21,5:53 AM,6:15 AM,7:16 AM,12:59 PM,1:30 PM,4:54 PM,5:30 PM,6:42 PM,6:47 PM,8:03 PM,8:15 PM
7,Mon,RBA 22,5:56 AM,6:15 AM,7:17 AM,12:59 PM,1:30 PM,4:52 PM,5:15 PM,6:40 PM,6:45 PM,8:01 PM,8:15 PM
8,Tues,RBA 23,5:57 AM,6:15 AM,7:18 AM,12:59 PM,1:30 PM,4:51 PM,5:15 PM,6:38 PM,6:43 PM,7:59 PM,8:15 PM
9,Wed,RBA 24,5:58 AM,6:15 AM,7:20 AM,12:58 PM,1:30 PM,4:49 PM,5:15 PM,6:36 PM,6:41 PM,7:57 PM,8:15 PM
10,Thurs,RBA 25,6:00 AM,6:15 AM,7:21 AM,12:58 PM,1:30 PM,4:47 PM,5:15 PM,6:35 PM,6:40 PM,7:56 PM,8:15 PM
11,Fri,RBA 26,6:01 AM,6:15 AM,7:22 AM,12:58 PM,1:30 PM,4:46 PM,5:15 PM,6:33 PM,6:38 PM,7:54 PM,8:15 PM
12,Sat,RBA 27,6:02 AM,6:15 AM,7:24 AM,12:58 PM,1:30 PM,4:44 PM,5:15 PM,6:31 PM,6:36 PM,7:52 PM,8:15 PM
13,Sun,RBA 28,6:04 AM,6:30 AM,7:25 AM,12:57 PM,1:30 PM,4:42 PM,5:00 PM,6:29 PM,6:34 PM,7:50 PM,8:00 PM
14,Mon,RBA 29,6:05 AM,6:30 AM,7:26 AM,12:57 PM,1:30 PM,4:41 PM,5:00 PM,6:27 PM,6:32 PM,7:49 PM,8:00 PM
15,Tues,RBA 30,6:06 AM,6:30 AM,7:27 AM,12:57 PM,1:30 PM,4:39 PM,5:00 PM,6:26 PM,6:31 PM,7:47 PM,8:00 PM
16,Wed,RTA 01,6:07 AM,6:30 AM,7:29 AM,12:57 PM,1:30 PM,4:38 PM,5:00 PM,6:24 PM,6:29 PM,7:45 PM,8:00 PM
17,Thurs,RTA 02,6:09 AM,6:30 AM,7:30 AM,12:56 PM,1:30 PM,4:36 PM,5:00 PM,6:22 PM,6:27 PM,7:43 PM,8:00 PM
18,Fri,RTA 03,6:10 AM,6:30 AM,7:31 AM,12:56 PM,1:30 PM,4:34 PM,5:00 PM,6:20 PM,6:25 PM,7:42 PM,8:00 PM
19,Sat,RTA 04,6:11 AM,6:30 AM,7:33 AM,12:56 PM,1:30 PM,4:33 PM,5:00 PM,6:19 PM,6:24 PM,7:40 PM,8:00 PM
20,Sun,RTA 05,6:12 AM,6:30 AM,7:34 AM,12:56 PM,1:30 PM,4:31 PM,4:45 PM,6:17 PM,6:22 PM,7:39 PM,7:45 PM
21,Mon,RTA 06,6:14 AM,6:30 AM,7:36 AM,12:56 PM,1:30 PM,4:30 PM,4:45 PM,6:15 PM,6:20 PM,7:37 PM,7:45 PM
22,Tues,RTA 07,6:15 AM,6:30 AM,7:37 AM,12:56 PM,1:30 PM,4:28 PM,4:45 PM,6:14 PM,6:19 PM,7:35 PM,7:45 PM
23,Wed,RTA 08,6:16 AM,6:30 AM,7:38 AM,12:55 PM,1:30 PM,4:27 PM,4:45 PM,6:12 PM,6:17 PM,7:34 PM,7:45 PM
24,Thurs,RTA 09,6:18 AM,6:30 AM,7:40 AM,12:55 PM,1:30 PM,4:25 PM,4:45 PM,6:10 PM,6:15 PM,7:32 PM,7:45 PM
25,Fri,RTA 10,6:19 AM,6:30 AM,7:41 AM,12:55 PM,1:30 PM,4:24 PM,4:45 PM,6:09 PM,6:14 PM,7:31 PM,7:45 PM
26,Sat,RTA 11,6:20 AM,6:30 AM,7:42 AM,12:55 PM,1:30 PM,4:22 PM,4:45 PM,6:07 PM,6:12 PM,7:29 PM,7:45 PM
27,Sun,RTA 12,6:21 AM,6:45 AM,7:44 AM,12:55 PM,1:30 PM,4:21 PM,4:30 PM,6:06 PM,6:11 PM,7:28 PM,7:45 PM
28,Mon,RTA 13,6:23 AM,6:45 AM,7:45 AM,12:55 PM,1:30 PM,4:19 PM,4:30 PM,6:04 PM,6:09 PM,7:27 PM,7:45 PM
29,Tues,RTA 14,6:24 AM,6:45 AM,7:47 AM,12:55 PM,1:30 PM,4:18 PM,4:30 PM,6:03 PM,6:08 PM,7:25 PM,7:45 PM
30,Wed,RTA 15,6:25 AM,6:45 AM,7:48 AM,12:55 PM,1:30 PM,4:16 PM,4:30 PM,6:01 PM,6:06 PM,7:24 PM,7:45 PM
31,Thurs,RTA 16,6:26 AM,6:45 AM,7:49 AM,12:55 PM,1:30 PM,4:15 PM,4:30 PM,6:00 PM,6:05 PM,7:23 PM,7:45 PM
